sku,categories,name,short_description,delivery,errors
KAN-AP-19FW01,"Default Category/Sale/Dresses","THREAD TEXTURE DRESS","Oversized dress with thread texture hand embroidery.","Shipping
For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.
Free shipping in India! 
All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch. 
International orders are final sale and cannot be returned.
Returns
Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping. 
•	Returns will not be accepted on damaged, used, washed or stained items.
•	Returns will not be accepted on Custom/Bespoke orders.
•	Return shipping methods and associated costs are the responsibility of the customer. 
•	SALE products are final sales and are not eligible for return, refunds or exchange. 
Please refer to our shipping & returns policy for more information.","Product Type is invalid or not supported"
KAN-AP-19FW02,"Default Category/Sale/Tops-Tunics","POLKA EMBROIDERED CHECKARD TOP","Sheer top with zari self checks and hand embroidered polka dots.","Shipping
For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.
Free shipping in India! 
All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch. 
International orders are final sale and cannot be returned.
Returns
Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping. 
•	Returns will not be accepted on damaged, used, washed or stained items.
•	Returns will not be accepted on Custom/Bespoke orders.
•	Return shipping methods and associated costs are the responsibility of the customer. 
•	SALE products are final sales and are not eligible for return, refunds or exchange. 
Please refer to our shipping & returns policy for more information.","Product Type is invalid or not supported"
KAN-AP-19FW03,"Default Category/Sale/Tops-Tunics","CHECKARD DUAL SLEEVE SHIRT","Dual sleeve shirt with checkard pattern. button and draw string detail on the cuff.","Shipping
For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.
Free shipping in India! 
All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch. 
International orders are final sale and cannot be returned.
Returns
Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping. 
•	Returns will not be accepted on damaged, used, washed or stained items.
•	Returns will not be accepted on Custom/Bespoke orders.
•	Return shipping methods and associated costs are the responsibility of the customer. 
•	SALE products are final sales and are not eligible for return, refunds or exchange. 
Please refer to our shipping & returns policy for more information.","Product Type is invalid or not supported,Url key: 'checkard-dual-sleeve-shirt.html' was already generated for an item with the SKU: 'KAN-AP-19FW03-1'. You need to specify the unique URL key manually"
KAN-AP-19FW04,"Default Category/Sale/Tops-Tunics","EMBROIDERED KNITTED TOP","Knitted top with floral hand embroidery in the front.","Shipping
For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.
Free shipping in India! 
All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch. 
International orders are final sale and cannot be returned.
Returns
Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping. 
•	Returns will not be accepted on damaged, used, washed or stained items.
•	Returns will not be accepted on Custom/Bespoke orders.
•	Return shipping methods and associated costs are the responsibility of the customer. 
•	SALE products are final sales and are not eligible for return, refunds or exchange. 
Please refer to our shipping & returns policy for more information.","Product Type is invalid or not supported,Url key: 'embroidered-knitted-top.html' was already generated for an item with the SKU: 'KAN-AP-19FW04-1'. You need to specify the unique URL key manually"
KAN-AP-19FW05,"Default Category/Sale/Tops-Tunics","TWO TONE CHECKARD FRILL TOP","Two tone top with checkard pattern.","Shipping
For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.
Free shipping in India! 
All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch. 
International orders are final sale and cannot be returned.
Returns
Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping. 
•	Returns will not be accepted on damaged, used, washed or stained items.
•	Returns will not be accepted on Custom/Bespoke orders.
•	Return shipping methods and associated costs are the responsibility of the customer. 
•	SALE products are final sales and are not eligible for return, refunds or exchange. 
Please refer to our shipping & returns policy for more information.","Product Type is invalid or not supported,Url key: 'two-tone-checkard-frill-top.html' was already generated for an item with the SKU: 'KAN-AP-19FW05-1'. You need to specify the unique URL key manually"
KAN-AP-19FW06,"Default Category/Sale/Dresses","SHEER EMBROIDERED DRESS","Sheer dress with hand embroidered floral motifs.","Shipping
For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.
Free shipping in India! 
All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch. 
International orders are final sale and cannot be returned.
Returns
Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping. 
•	Returns will not be accepted on damaged, used, washed or stained items.
•	Returns will not be accepted on Custom/Bespoke orders.
•	Return shipping methods and associated costs are the responsibility of the customer. 
•	SALE products are final sales and are not eligible for return, refunds or exchange. 
Please refer to our shipping & returns policy for more information.","Product Type is invalid or not supported"
KAN-AP-19FW07,"Default Category/Sale/Tops-Tunics","FRONT OPEN PEEK-A-BOO SHIRT","Sheer and opaque front open button down shirt with cut work and hand embroidered floral motifs.","Shipping
For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.
Free shipping in India! 
All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch. 
International orders are final sale and cannot be returned.
Returns
Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping. 
•	Returns will not be accepted on damaged, used, washed or stained items.
•	Returns will not be accepted on Custom/Bespoke orders.
•	Return shipping methods and associated costs are the responsibility of the customer. 
•	SALE products are final sales and are not eligible for return, refunds or exchange. 
Please refer to our shipping & returns policy for more information.","Product Type is invalid or not supported"
KAN-AP-19FW08,"Default Category/Sale/Outerwear","BOMBER JACKET","Bomber jacket with quilted lining and pintucked cuffs and collar.","Shipping
For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.
Free shipping in India! 
All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch. 
International orders are final sale and cannot be returned.
Returns
Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping. 
•	Returns will not be accepted on damaged, used, washed or stained items.
•	Returns will not be accepted on Custom/Bespoke orders.
•	Return shipping methods and associated costs are the responsibility of the customer. 
•	SALE products are final sales and are not eligible for return, refunds or exchange. 
Please refer to our shipping & returns policy for more information.","Product Type is invalid or not supported,Url key: 'bomber-jacket.html' was already generated for an item with the SKU: 'KAN-AP-19FW08-1'. You need to specify the unique URL key manually"
KAN-AP-19FW09,"Default Category/Sale/Tops-Tunics","DETACHABLE FRILL SLEEVE TOP","Top with checkard pattern and detachable frills on sleeves.","Shipping
For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.
Free shipping in India! 
All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch. 
International orders are final sale and cannot be returned.
Returns
Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping. 
•	Returns will not be accepted on damaged, used, washed or stained items.
•	Returns will not be accepted on Custom/Bespoke orders.
•	Return shipping methods and associated costs are the responsibility of the customer. 
•	SALE products are final sales and are not eligible for return, refunds or exchange. 
Please refer to our shipping & returns policy for more information.","Product Type is invalid or not supported,Url key: 'detachable-frill-sleeve-top.html' was already generated for an item with the SKU: 'KAN-AP-19FW09-1'. You need to specify the unique URL key manually"
KAN-AP-19FW10,"Default Category/Sale/Bottoms","SIDE DRAPE SKIRT","Knee length skirt with side drape and thread fray detail.","Shipping
For orders placed before 9am IST, we endeavour to process the same business day. Orders placed after 12pm IST will be processed the next business day.
Free shipping in India! 
All orders within India are free of charge. Please allow 3-5 business days for your goods to reach the destination after dispatch. 
International orders are final sale and cannot be returned.
Returns
Before you return any of our products, please take a moment to understand what goes into making them. All our products are handcrafted with a lot of love and care, making each product special and unique. All the products go through a quality check before shipping. 
•	Returns will not be accepted on damaged, used, washed or stained items.
•	Returns will not be accepted on Custom/Bespoke orders.
•	Return shipping methods and associated costs are the responsibility of the customer. 
•	SALE products are final sales and are not eligible for return, refunds or exchange. 
Please refer to our shipping & returns policy for more information.","Product Type is invalid or not supported,Url key: 'side-drape-skirt.html' was already generated for an item with the SKU: 'KAN-AP-19FW10-1'. You need to specify the unique URL key manually"
